1.03,0.2,4634813.43
1.04,0.2,4668350.31
1.07,0.2,4885883.18
1.1,0.2,5256213.33
1.2,0.2,7297002.86
0.97,-0.005,-995213.74
0.99,-0.005,-1078378.12
1.0,-0.005,-1080155.16
1.01,-0.005,-1057451.83
1.03,-0.005,-944255.52
0.97,0.005,-845286.77
0.99,0.005,-931516.93
1.0,0.005,-934780.6
1.01,0.005,-913534.27
1.03,0.005,-803166.6
0.8,-0.005,6334972.0
0.9,-0.005,323357.17
0.93,-0.005,-461749.31
0.96,-0.005,-910505.7
0.98,-0.005,-1050601.4
1.02,-0.005,-1011701.21
1.04,-0.005,-856391.11
1.07,-0.005,-482006.07
1.1,-0.005,36568.13
1.2,-0.005,2517655.97
0.8,0.005,6517190.12
0.9,0.005,485094.28
0.93,0.005,-305292.72
0.96,0.005,-758997.65
0.98,0.005,-902223.06
1.02,0.005,-869211.92
1.04,0.005,-716675.47
1.07,0.005,-346255.32
1.1,0.005,168571.54
1.2,0.005,2638529.13
