3114972.85976	==>	4634813.43
3016902.20397	==>	4668350.31
2722690.23659	==>	4885883.18
2428478.26921	==>	5256213.33
1447771.71127	==>	7297002.86
-1782468.89853	==>	-995213.74
-1978610.21011	==>	-1078378.12
-2076680.86591	==>	-1080155.16
-2174751.5217	==>	-1057451.83
-2370892.83329	==>	-944255.52
-1514865.69399	==>	-845286.77
-1711007.00557	==>	-931516.93
-1809077.66137	==>	-934780.6
-1907148.31716	==>	-913534.27
-2103289.62875	==>	-803166.6
-115267.75003	==>	6334972.0
-1095974.30797	==>	323357.17
-1390186.27535	==>	-461749.31
-1684398.24273	==>	-910505.7
-1880539.55432	==>	-1050601.4
-2272822.1775	==>	-1011701.21
-2468963.48908	==>	-856391.11
-2763175.45647	==>	-482006.07
-3057387.42385	==>	36568.13
-4038093.98179	==>	2517655.97
152335.45451	==>	6517190.12
-828371.10343	==>	485094.28
-1122583.07081	==>	-305292.72
-1416795.03819	==>	-758997.65
-1612936.34978	==>	-902223.06
-2005218.97296	==>	-869211.92
-2201360.28454	==>	-716675.47
-2495572.25193	==>	-346255.32
-2789784.21931	==>	168571.54
-3770490.77725	==>	2638529.13
